"","","","step","Prob"
"1",10,1,1,0.988826114251409
"2",3,2,2,0.966663834185884
"3",3,1,3,0.934069102524559
"4",9,7,4,0.891947704562793
"5",4,2,6,0.784245273680004
"6",10,8,6,0.784245273680004
"7",6,4,7,0.721767498070925
"8",7,5,7,0.721767498070925
"9",6,5,8,0.655835633599648
